county,region,population_2020,population_2030,population_2040,population_2050,population_2060,population_2070,unmet_needs_2020_acft,unmet_needs_2030_acft,unmet_needs_2040_acft,unmet_needs_2050_acft,unmet_needs_2060_acft,unmet_needs_2070_acft,severity_pct,severity_tier,data_centers,semi_fabs,total_facilities
SHERMAN,A,3294,3571,3720,3853,3949,4020,0,0,29567,38831,38207,38423,15.42,Moderate,0,1,1
SMITH,D,233560,259400,286140,315587,346896,380621,306,900,1461,2343,3581,5183,4.1,Low,2,0,2
SOMERVELL,G,9482,10594,11395,12013,12539,12958,35808,36175,36216,36292,36388,36509,49.24,Severe,0,0,0
STARR,M,70803,80085,88633,97107,104687,111555,23774,24131,24370,24663,24923,25335,63.3,Critical,0,0,0
STEPHENS,G,9927,10293,10455,10563,10641,10693,3600,3680,2997,2367,1800,1316,39.95,Severe,0,0,0
STERLING,F,1215,1260,1275,1275,1275,1275,0,0,0,0,0,0,0.0,None,0,0,0
STONEWALL,G,1501,1504,1504,1504,1504,1504,487,479,417,360,303,254,28.78,Severe,0,0,0
SUTTON,F,3817,4094,4198,4279,4322,4347,0,0,0,0,0,0,0.0,None,0,0,0
SWISHER,O,8257,8670,8798,8744,9175,9380,13178,70822,70822,70822,70822,70500,69.34,Critical,0,0,0
TARRANT,C,2004609,2279113,2580325,2799127,2978034,3167377,10131,80903,150213,202090,244365,286599,35.5,Severe,4,1,5
TAYLOR,G,140675,147183,152561,156822,160004,162423,2841,5874,8728,14258,17453,21407,49.36,Severe,0,0,0
TERRELL,E,1045,1069,1069,1069,1069,1069,483,586,550,416,293,195,24.4,Moderate,0,0,0
TERRY,O,13599,14457,15321,16108,16847,17535,581,42971,42988,43079,43131,43125,31.23,Severe,0,0,0
THROCKMORTON,G,1646,1646,1646,1646,1646,1646,384,387,373,362,355,349,34.12,Severe,0,0,0
TITUS,D,36643,41381,46283,51665,57330,63315,32005,34223,35000,35810,36362,36782,44.68,Severe,0,0,0
TOM GREEN,F,123052,137486,145685,154230,163215,172642,4959,6993,8016,9266,10748,12348,13.22,Moderate,0,0,0
TRAVIS,K,1298624,1538784,1767636,1936583,2075875,2233259,3102,6867,20254,25866,31463,43787,6.85,Low,1,26,27
